
---------- Begin Simulation Statistics ----------
simSeconds                                   0.001756                       # Number of seconds simulated (Second)
simTicks                                   1756019000                       # Number of ticks simulated (Tick)
finalTick                                  1756019000                       # Number of ticks from beginning of simulation (restored from checkpoints and never reset) (Tick)
simFreq                                  1000000000000                       # The number of ticks per simulated second ((Tick/Second))
hostSeconds                                     11.64                       # Real time elapsed on the host (Second)
hostTickRate                                150865209                       # The number of ticks simulated per host second (ticks/s) ((Tick/Second))
hostMemory                                     655000                       # Number of bytes of host memory used (Byte)
simInsts                                      2512827                       # Number of instructions simulated (Count)
simOps                                        4198997                       # Number of ops (including micro ops) simulated (Count)
hostInstRate                                   215882                       # Simulator instruction rate (inst/s) ((Count/Second))
hostOpRate                                     360743                       # Simulator op (including micro ops) rate (op/s) ((Count/Second))
system.clk_domain.clock                          1000                       # Clock period in ticks (Tick)
system.cpu.numCycles                          1756020                       # Number of cpu cycles simulated (Cycle)
system.cpu.numWorkItemsStarted                      0                       # Number of work items this cpu started (Count)
system.cpu.numWorkItemsCompleted                    0                       # Number of work items this cpu completed (Count)
system.cpu.instsAdded                         6009134                       # Number of instructions added to the IQ (excludes non-spec) (Count)
system.cpu.nonSpecInstsAdded                        1                       # Number of non-speculative instructions added to the IQ (Count)
system.cpu.instsIssued                        5743995                       # Number of instructions issued (Count)
system.cpu.squashedInstsIssued                  20581                       # Number of squashed instructions issued (Count)
system.cpu.squashedInstsExamined              1810124                       # Number of squashed instructions iterated over during squash; mainly for profiling (Count)
system.cpu.squashedOperandsExamined           1390850                       # Number of squashed operands that are examined and possibly removed from graph (Count)
system.cpu.squashedNonSpecRemoved                   1                       # Number of squashed non-spec instructions that were removed (Count)
system.cpu.numIssuedDist::samples             1746678                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::mean               3.288525                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::stdev              2.720850                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::underflows                0      0.00%      0.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::0                    556941     31.89%     31.89% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::1                     47463      2.72%     34.60% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::2                    148781      8.52%     43.12% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::3                    122535      7.02%     50.14% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::4                    131838      7.55%     57.68% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::5                    189370     10.84%     68.53% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::6                    329731     18.88%     87.40% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::7                    181375     10.38%     97.79% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::8                     38644      2.21%    100.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::overflows                 0      0.00%    100.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::min_value                 0                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::max_value                 8                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::total               1746678                       # Number of insts issued each cycle (Count)
system.cpu.statFuBusy::No_OpClass                   0      0.00%      0.00% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::IntAlu                  204480     99.96%     99.96% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::IntMult                      0      0.00%     99.96% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::IntDiv                       0      0.00%     99.96% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatAdd                     0      0.00%     99.96% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatCmp                     0      0.00%     99.96% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatCvt                     0      0.00%     99.96% # attempts to use FU when none available (Count)
