
---------- Begin Simulation Statistics ----------
simSeconds                                   0.000471                       # Number of seconds simulated (Second)
simTicks                                    470771250                       # Number of ticks simulated (Tick)
finalTick                                   470771250                       # Number of ticks from beginning of simulation (restored from checkpoints and never reset) (Tick)
simFreq                                  1000000000000                       # The number of ticks per simulated second ((Tick/Second))
hostSeconds                                     11.37                       # Real time elapsed on the host (Second)
hostTickRate                                 41411410                       # The number of ticks simulated per host second (ticks/s) ((Tick/Second))
hostMemory                                     655000                       # Number of bytes of host memory used (Byte)
simInsts                                      2512827                       # Number of instructions simulated (Count)
simOps                                        4198997                       # Number of ops (including micro ops) simulated (Count)
hostInstRate                                   221038                       # Simulator instruction rate (inst/s) ((Count/Second))
hostOpRate                                     369359                       # Simulator op (including micro ops) rate (op/s) ((Count/Second))
system.clk_domain.clock                           250                       # Clock period in ticks (Tick)
system.cpu.numCycles                          1883086                       # Number of cpu cycles simulated (Cycle)
system.cpu.numWorkItemsStarted                      0                       # Number of work items this cpu started (Count)
system.cpu.numWorkItemsCompleted                    0                       # Number of work items this cpu completed (Count)
system.cpu.instsAdded                         6014952                       # Number of instructions added to the IQ (excludes non-spec) (Count)
system.cpu.nonSpecInstsAdded                        1                       # Number of non-speculative instructions added to the IQ (Count)
system.cpu.instsIssued                        5748145                       # Number of instructions issued (Count)
system.cpu.squashedInstsIssued                  20692                       # Number of squashed instructions issued (Count)
system.cpu.squashedInstsExamined              1815942                       # Number of squashed instructions iterated over during squash; mainly for profiling (Count)
system.cpu.squashedOperandsExamined           1397528                       # Number of squashed operands that are examined and possibly removed from graph (Count)
system.cpu.squashedNonSpecRemoved                   1                       # Number of squashed non-spec instructions that were removed (Count)
system.cpu.numIssuedDist::samples             1834354                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::mean               3.133607                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::stdev              2.744469                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::underflows                0      0.00%      0.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::0                    642059     35.00%     35.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::1                     48841      2.66%     37.66% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::2                    149550      8.15%     45.82% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::3                    123162      6.71%     52.53% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::4                    131597      7.17%     59.71% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::5                    189158     10.31%     70.02% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::6                    330072     17.99%     88.01% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::7                    181212      9.88%     97.89% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::8                     38703      2.11%    100.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::overflows                 0      0.00%    100.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::min_value                 0                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::max_value                 8                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::total               1834354                       # Number of insts issued each cycle (Count)
system.cpu.statFuBusy::No_OpClass                   0      0.00%      0.00% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::IntAlu                  204729     99.96%     99.96% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::IntMult                      0      0.00%     99.96% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::IntDiv                       0      0.00%     99.96% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatAdd                     0      0.00%     99.96% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatCmp                     0      0.00%     99.96% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatCvt                     0      0.00%     99.96% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatMult                    0      0.00%     99.96% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatMultAcc                 0      0.00%     99.96% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatDiv                     0      0.00%     99.96% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatMisc                    0      0.00%     99.96% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatSqrt                    0      0.00%     99.96% # attempts to use FU when none available (Count)
