
---------- Begin Simulation Statistics ----------
simSeconds                                   0.001420                       # Number of seconds simulated (Second)
simTicks                                   1420284500                       # Number of ticks simulated (Tick)
finalTick                                  1420284500                       # Number of ticks from beginning of simulation (restored from checkpoints and never reset) (Tick)
simFreq                                  1000000000000                       # The number of ticks per simulated second ((Tick/Second))
hostSeconds                                     26.64                       # Real time elapsed on the host (Second)
hostTickRate                                 53322500                       # The number of ticks simulated per host second (ticks/s) ((Tick/Second))
hostMemory                                     653932                       # Number of bytes of host memory used (Byte)
simInsts                                      8104168                       # Number of instructions simulated (Count)
simOps                                       14470625                       # Number of ops (including micro ops) simulated (Count)
hostInstRate                                   304256                       # Simulator instruction rate (inst/s) ((Count/Second))
hostOpRate                                     543273                       # Simulator op (including micro ops) rate (op/s) ((Count/Second))
system.clk_domain.clock                           250                       # Clock period in ticks (Tick)
system.cpu.numCycles                          5681139                       # Number of cpu cycles simulated (Cycle)
system.cpu.numWorkItemsStarted                      0                       # Number of work items this cpu started (Count)
system.cpu.numWorkItemsCompleted                    0                       # Number of work items this cpu completed (Count)
system.cpu.instsAdded                        14488668                       # Number of instructions added to the IQ (excludes non-spec) (Count)
system.cpu.nonSpecInstsAdded                        5                       # Number of non-speculative instructions added to the IQ (Count)
system.cpu.instsIssued                       14503231                       # Number of instructions issued (Count)
system.cpu.squashedInstsIssued                    597                       # Number of squashed instructions issued (Count)
system.cpu.squashedInstsExamined                18042                       # Number of squashed instructions iterated over during squash; mainly for profiling (Count)
system.cpu.squashedOperandsExamined             19251                       # Number of squashed operands that are examined and possibly removed from graph (Count)
system.cpu.squashedNonSpecRemoved                   5                       # Number of squashed non-spec instructions that were removed (Count)
system.cpu.numIssuedDist::samples             5632716                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::mean               2.574820                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::stdev              2.818538                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::underflows                0      0.00%      0.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::0                   1998037     35.47%     35.47% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::1                   1118318     19.85%     55.33% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::2                    365147      6.48%     61.81% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::3                    205942      3.66%     65.46% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::4                    311387      5.53%     70.99% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::5                    195460      3.47%     74.46% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::6                    565962     10.05%     84.51% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::7                    561531      9.97%     94.48% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::8                    310932      5.52%    100.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::overflows                 0      0.00%    100.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::min_value                 0                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::max_value                 8                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::total               5632716                       # Number of insts issued each cycle (Count)
system.cpu.statFuBusy::No_OpClass                   0      0.00%      0.00% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::IntAlu                     246      0.10%      0.10% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::IntMult                      0      0.00%      0.10% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::IntDiv                       0      0.00%      0.10% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatAdd                 88302     35.06%     35.15% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatCmp                     0      0.00%     35.15% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatCvt                     0      0.00%     35.15% # attempts to use FU when none available (Count)
