
---------- Begin Simulation Statistics ----------
simSeconds                                   0.025114                       # Number of seconds simulated (Second)
simTicks                                  25114442000                       # Number of ticks simulated (Tick)
finalTick                                 25114442000                       # Number of ticks from beginning of simulation (restored from checkpoints and never reset) (Tick)
simFreq                                  1000000000000                       # The number of ticks per simulated second ((Tick/Second))
hostSeconds                                     49.40                       # Real time elapsed on the host (Second)
hostTickRate                                508418610                       # The number of ticks simulated per host second (ticks/s) ((Tick/Second))
hostMemory                                     717420                       # Number of bytes of host memory used (Byte)
simInsts                                      9995916                       # Number of instructions simulated (Count)
simOps                                       17794157                       # Number of ops (including micro ops) simulated (Count)
hostInstRate                                   202357                       # Simulator instruction rate (inst/s) ((Count/Second))
hostOpRate                                     360225                       # Simulator op (including micro ops) rate (op/s) ((Count/Second))
system.clk_domain.clock                          1000                       # Clock period in ticks (Tick)
system.cpu.numCycles                         25114443                       # Number of cpu cycles simulated (Cycle)
system.cpu.numWorkItemsStarted                      0                       # Number of work items this cpu started (Count)
system.cpu.numWorkItemsCompleted                    0                       # Number of work items this cpu completed (Count)
system.cpu.instsAdded                        17862084                       # Number of instructions added to the IQ (excludes non-spec) (Count)
system.cpu.nonSpecInstsAdded                       30                       # Number of non-speculative instructions added to the IQ (Count)
system.cpu.instsIssued                       17857888                       # Number of instructions issued (Count)
system.cpu.squashedInstsIssued                     53                       # Number of squashed instructions issued (Count)
system.cpu.squashedInstsExamined                67943                       # Number of squashed instructions iterated over during squash; mainly for profiling (Count)
system.cpu.squashedOperandsExamined             47509                       # Number of squashed operands that are examined and possibly removed from graph (Count)
system.cpu.squashedNonSpecRemoved                  18                       # Number of squashed non-spec instructions that were removed (Count)
system.cpu.numIssuedDist::samples            25092476                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::mean               0.711683                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::stdev              1.537620                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::underflows                0      0.00%      0.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::0                  19439488     77.47%     77.47% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::1                   1007729      4.02%     81.49% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::2                   1571543      6.26%     87.75% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::3                    600895      2.39%     90.15% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::4                   1040227      4.15%     94.29% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::5                   1018004      4.06%     98.35% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::6                    327066      1.30%     99.65% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::7                      9128      0.04%     99.69% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::8                     78396      0.31%    100.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::overflows                 0      0.00%    100.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::min_value                 0                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::max_value                 8                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::total              25092476                       # Number of insts issued each cycle (Count)
system.cpu.statFuBusy::No_OpClass                   0      0.00%      0.00% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::IntAlu                   54369     16.20%     16.20% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::IntMult                      0      0.00%     16.20% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::IntDiv                       0      0.00%     16.20% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatAdd                     0      0.00%     16.20% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatCmp                     0      0.00%     16.20% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatCvt                     0      0.00%     16.20% # attempts to use FU when none available (Count)
