
---------- Begin Simulation Statistics ----------
simSeconds                                   0.001799                       # Number of seconds simulated (Second)
simTicks                                   1799112770                       # Number of ticks simulated (Tick)
finalTick                                  1799112770                       # Number of ticks from beginning of simulation (restored from checkpoints and never reset) (Tick)
simFreq                                  1000000000000                       # The number of ticks per simulated second ((Tick/Second))
hostSeconds                                     27.14                       # Real time elapsed on the host (Second)
hostTickRate                                 66279297                       # The number of ticks simulated per host second (ticks/s) ((Tick/Second))
hostMemory                                     662908                       # Number of bytes of host memory used (Byte)
simInsts                                      8104168                       # Number of instructions simulated (Count)
simOps                                       14470625                       # Number of ops (including micro ops) simulated (Count)
hostInstRate                                   298557                       # Simulator instruction rate (inst/s) ((Count/Second))
hostOpRate                                     533096                       # Simulator op (including micro ops) rate (op/s) ((Count/Second))
system.clk_domain.clock                           455                       # Clock period in ticks (Tick)
system.cpu.numCycles                          3954095                       # Number of cpu cycles simulated (Cycle)
system.cpu.numWorkItemsStarted                      0                       # Number of work items this cpu started (Count)
system.cpu.numWorkItemsCompleted                    0                       # Number of work items this cpu completed (Count)
system.cpu.instsAdded                        14488382                       # Number of instructions added to the IQ (excludes non-spec) (Count)
system.cpu.nonSpecInstsAdded                        5                       # Number of non-speculative instructions added to the IQ (Count)
system.cpu.instsIssued                       14496278                       # Number of instructions issued (Count)
system.cpu.squashedInstsIssued                    601                       # Number of squashed instructions issued (Count)
system.cpu.squashedInstsExamined                17756                       # Number of squashed instructions iterated over during squash; mainly for profiling (Count)
system.cpu.squashedOperandsExamined             18772                       # Number of squashed operands that are examined and possibly removed from graph (Count)
system.cpu.squashedNonSpecRemoved                   5                       # Number of squashed non-spec instructions that were removed (Count)
system.cpu.numIssuedDist::samples             3922251                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::mean               3.695908                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::stdev              2.721395                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::underflows                0      0.00%      0.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::0                    320627      8.17%      8.17% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::1                   1119610     28.55%     36.72% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::2                    337414      8.60%     45.32% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::3                    212104      5.41%     50.73% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::4                    255692      6.52%     57.25% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::5                    205808      5.25%     62.50% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::6                    590283     15.05%     77.55% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::7                    573682     14.63%     92.17% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::8                    307031      7.83%    100.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::overflows                 0      0.00%    100.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::min_value                 0                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::max_value                 8                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::total               3922251                       # Number of insts issued each cycle (Count)
system.cpu.statFuBusy::No_OpClass                   0      0.00%      0.00% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::IntAlu                     249      0.11%      0.11% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::IntMult                      0      0.00%      0.11% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::IntDiv                       0      0.00%      0.11% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatAdd                 82961     35.02%     35.13% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatCmp                     0      0.00%     35.13% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatCvt                     0      0.00%     35.13% # attempts to use FU when none available (Count)
